Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2015,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Percent,95
2016,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Percent,166
2017,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Percent,14
2018,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Percent,3
2019,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Percent,4
2020,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Percent,2
2021,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Percent,0
2022,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Percent,127
2023,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Percent,4
2024,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Percent,14
2017,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,Female,Percent,12
2023,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,Female,Percent,2
2024,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,Female,Percent,13
2017,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,Male,Percent,2
2023,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,Male,Percent,2
2024,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,Male,Percent,1
