Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Sex,Education level,UNIT_MEASURE,Value
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,,Primary education or less,Percent,91.44
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,,Primary and lower secondary education (basic education),Percent,64.9
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,,Secondary education (lower and upper secondary education),Percent,10.61
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Female,Primary education or less,Percent,92.92
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Female,Primary and lower secondary education (basic education),Percent,64.89
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Female,Secondary education (lower and upper secondary education),Percent,11.02
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Male,Primary education or less,Percent,89.96
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Male,Primary and lower secondary education (basic education),Percent,64.92
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Male,Secondary education (lower and upper secondary education),Percent,10.21
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Bulawayo,,Primary education or less,Percent,110.07
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Bulawayo,,Primary and lower secondary education (basic education),Percent,86.53
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Bulawayo,,Secondary education (lower and upper secondary education),Percent,17.73
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Harare,,Primary education or less,Percent,90.37
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Harare,,Primary and lower secondary education (basic education),Percent,63.81
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Harare,,Secondary education (lower and upper secondary education),Percent,15.89
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Manicaland,,Primary education or less,Percent,91.06
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Manicaland,,Primary and lower secondary education (basic education),Percent,67.21
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Manicaland,,Secondary education (lower and upper secondary education),Percent,12.1
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Mashonaland Central,,Primary education or less,Percent,88.45
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Mashonaland Central,,Primary and lower secondary education (basic education),Percent,55.41
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Mashonaland Central,,Secondary education (lower and upper secondary education),Percent,6.34
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Masholanad East,,Primary education or less,Percent,87.28
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Masholanad East,,Primary and lower secondary education (basic education),Percent,64.87
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Masholanad East,,Secondary education (lower and upper secondary education),Percent,10.11
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Midlands,,Primary education or less,Percent,93.43
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Midlands,,Primary and lower secondary education (basic education),Percent,63.7
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Midlands,,Secondary education (lower and upper secondary education),Percent,9.18
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Matabeland North,,Primary education or less,Percent,86.16
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Matabeland North,,Primary and lower secondary education (basic education),Percent,55.77
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Matabeland North,,Secondary education (lower and upper secondary education),Percent,5.27
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Matabeland South,,Primary education or less,Percent,95.32
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Matabeland South,,Primary and lower secondary education (basic education),Percent,61.85
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Matabeland South,,Secondary education (lower and upper secondary education),Percent,7.7
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Masvingo,,Primary education or less,Percent,91.36
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Masvingo,,Primary and lower secondary education (basic education),Percent,73.96
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Masvingo,,Secondary education (lower and upper secondary education),Percent,12.16
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Mashonaland West,,Primary education or less,Percent,92.66
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Mashonaland West,,Primary and lower secondary education (basic education),Percent,60.53
2024,Normal value,Units,EMIS_2024,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Mashonaland West,,Secondary education (lower and upper secondary education),Percent,6.99
