Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Education level,UNIT_MEASURE,Value
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",,Primary education or less,Percent,34.73
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",,Secondary education (lower and upper secondary education),Percent,48.14
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",,Primary education,Percent,34.73
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Bulawayo,Primary education or less,Percent,51.74
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Bulawayo,Secondary education (lower and upper secondary education),Percent,68.18
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Bulawayo,Primary education,Percent,51.74
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Harare,Primary education or less,Percent,58.87
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Harare,Secondary education (lower and upper secondary education),Percent,70.37
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Harare,Primary education,Percent,58.87
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Manicaland,Primary education or less,Percent,30.18
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Manicaland,Secondary education (lower and upper secondary education),Percent,46.64
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Manicaland,Primary education,Percent,30.18
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Mashonaland Central,Primary education or less,Percent,29.32
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Mashonaland Central,Secondary education (lower and upper secondary education),Percent,39.05
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Mashonaland Central,Primary education,Percent,29.32
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Masholanad East,Primary education or less,Percent,39.24
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Masholanad East,Secondary education (lower and upper secondary education),Percent,42.02
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Masholanad East,Primary education,Percent,39.24
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Midlands,Primary education or less,Percent,29.21
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Midlands,Secondary education (lower and upper secondary education),Percent,47.89
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Midlands,Primary education,Percent,29.21
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Matabeland North,Primary education or less,Percent,27.19
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Matabeland North,Secondary education (lower and upper secondary education),Percent,45.33
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Matabeland North,Primary education,Percent,27.19
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Matabeland South,Primary education or less,Percent,48.13
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Matabeland South,Secondary education (lower and upper secondary education),Percent,50.52
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Matabeland South,Primary education,Percent,48.13
2024,Normal value,Units,EMIS_2024,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Masvingo,Primary education or less,Percent,28.26
