Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,UNEP_WCMC,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1],,Percent,87.4811
2016,Normal value,Units,UNEP_WCMC,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1],,Percent,87.4811
2017,Normal value,Units,UNEP_WCMC,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1],,Percent,87.4811
2018,Normal value,Units,UNEP_WCMC,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1],,Percent,87.4811
2019,Normal value,Units,UNEP_WCMC,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1],,Percent,87.4811
2020,Normal value,Units,UNEP_WCMC,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1],,Percent,87.4811
2021,Normal value,Units,UNEP_WCMC,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1],,Percent,87.4811
2022,Normal value,Units,UNEP_WCMC,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1],,Percent,87.4811
2023,Normal value,Units,UNEP_WCMC,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1],,Percent,87.4811
2024,Normal value,Units,UNEP_WCMC,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas [15.4.1],,Percent,87.4811
