Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Age,Degree of urbanisation,UNIT_MEASURE,Value
2019,Normal value,Units,Zimstat_MICS_2019,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,,Percent,91.0
2019,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,12 to 23 months,,Percent,91.0
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,12 to 23 months,,Percent,81.9
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,12 to 23 months,Rural,Percent,81.6
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,12 to 23 months,Urban,Percent,82.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],Bulawayo,12 to 23 months,,Percent,86.8
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],Harare,12 to 23 months,,Percent,84.7
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],Manicaland,12 to 23 months,,Percent,73.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],Mashonaland Central,12 to 23 months,,Percent,80.1
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],Masholanad East,12 to 23 months,,Percent,81.9
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],Midlands,12 to 23 months,,Percent,89.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],Matabeland North,12 to 23 months,,Percent,88.7
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],Matabeland South,12 to 23 months,,Percent,86.7
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],Masvingo,12 to 23 months,,Percent,87.6
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],Mashonaland West,12 to 23 months,,Percent,74.2
2019,Normal value,Units,Zimstat_MICS_2019,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],,,,Percent,68.4
2019,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],,24 to 35 months,,Percent,68.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],,24 to 35 months,,Percent,70.5
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],,24 to 35 months,Rural,Percent,76.1
2024,Normal value,Units,ZDHS 2023-24,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],,24 to 35 months,Urban,Percent,76.1
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],Bulawayo,24 to 35 months,,Percent,81.1
2024,Normal value,Units,ZDHS 2023-24,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],Harare,24 to 35 months,,Percent,78.7
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],Harare,24 to 35 months,Urban,Percent,78.7
