Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Value
2014,Normal value,Units,MoSYC,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]",,Boolean or binary measure,1
2015,Normal value,Units,MoSYC,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]",,Boolean or binary measure,1
2016,Normal value,Units,MoSYC,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]",,Boolean or binary measure,1
2017,Normal value,Units,MoSYC,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]",,Boolean or binary measure,1
2018,Normal value,Units,MoSYC,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]",,Boolean or binary measure,1
2019,Normal value,Units,MoSYC,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]",,Boolean or binary measure,1
2020,Normal value,Units,MoSYC,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]",,Boolean or binary measure,1
2021,Normal value,Units,MoSYC,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]",,Boolean or binary measure,1
2023,Normal value,Units,MoSYC,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]",,Boolean or binary measure,1
2024,Normal value,Units,MoSYC,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]",,Boolean or binary measure,1
